Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2010,"LAA",162,2236,6089,155,681,656,104,0.07653145,0.17572672,0.141946064,0.280930232,0.248360058,0.311269237,0.390306122,0.31001253533343526,,93.69218207272733,-8.75058370642364,-54.17807405737395,-20.448995057027787,14.249760349990298
2013,"NYY",162,2253,6044,144,650,614,115,0.077101257,0.200860357,0.133418976,0.285195056,0.242429803,0.306924101,0.375848779,0.30120448184312637,,86.44659919037383,4.4320010198280215,-89.19429143754512,26.129178633913398,14.226979066232321
2023,"SFG",162,2441,6095,174,674,651,57,0.089253486,0.244790812,0.148558759,0.289828269,0.234848484,0.312047399,0.383407243,0.30417806960104793,,92.85549435495047,-10.105858877483115,-64.16268756223222,0.30755821615457535,14.217279773113793
2009,"OAK",162,2306,6247,135,759,723,133,0.084360493,0.167440371,0.135028653,0.298182634,0.26217765,0.328399034,0.397206303,0.3204634763056433,,93.53923786690278,12.809493582695723,-37.96166936147764,-38.579814655706286,14.192676119338588
2011,"CHC",162,2373,6130,148,654,610,69,0.069331158,0.196084828,0.144350333,0.301133679,0.256442602,0.314271588,0.400792935,0.31353523197526584,,91.27471513825597,-17.664046936202794,-80.1738038613164,26.383433148264885,14.158261223844676
2013,"CHC",162,2294,6079,172,602,576,63,0.072215824,0.20233591,0.154419789,0.275084827,0.237722808,0.300464037,0.392142597,0.30437312781552733,,90.32497777917783,-11.911594592500478,-78.34460508814672,26.22268323227763,14.109053610069687
2007,"MIN",162,2259,6161,118,718,671,112,0.083103392,0.136179191,0.126584571,0.29110629,0.264396957,0.329688265,0.390981528,0.31727238008743286,,90.8546428546069,2.6013616621494293,-68.67694027443456,-0.396696325391531,14.059349175571622
2012,"TOR",162,2289,6094,198,716,677,123,0.077617328,0.205283885,0.161290323,0.281165809,0.245307089,0.309240924,0.406597412,0.31106156114716765,,91.86834005451611,2.4875091165304184,-55.78914842559345,-15.564376816153526,14.042123236578062
2014,"CHW",162,2285,6077,155,660,625,85,0.068619384,0.224123745,0.145769438,0.306348425,0.25257081,0.30983823,0.398340248,0.31234441812602315,,98.51317774001609,-13.06979365926236,-23.45233466495993,-40.519158041104674,13.952434707936263
2012,"LAD",162,2356,6091,116,637,607,104,0.07896897,0.189788212,0.121919824,0.298049476,0.251746965,0.316525212,0.373666789,0.30175878413571605,,89.93822564026188,-8.60784950107336,-81.93107254759214,29.523604284971952,13.919257296228281
2008,"SDP",162,2343,6244,154,637,615,36,0.082959641,0.201633568,0.140086207,0.294215662,0.249640804,0.317057396,0.389727011,0.31139896058454747,,92.43625363888243,-4.239902691915631,-63.73264110650884,2.7908803150057793,13.908314972040092
2013,"COL",162,2330,6152,159,706,673,112,0.069408322,0.195708712,0.148597964,0.3165535,0.269869619,0.322654838,0.418467583,0.3241488772086864,,87.2548561622137,17.42514910828322,-72.68648885210705,16.486695546656847,13.905860157557928
2020,"LAD",60,921,2316,118,349,327,29,0.098445595,0.203367875,0.226738492,0.276450511,0.256121449,0.337802768,0.482859941,0.3495852293782017,,120.2211250322508,-1.4917387119494379,58.3447291506643,-1.3584435312077403,13.866379889933786
2011,"FLA",162,2348,6232,149,625,596,95,0.086970474,0.19961489,0.141793754,0.290834736,0.246550472,0.317597265,0.388344226,0.31117761535394595,,91.9437007545117,2.141859555616975,-56.059150295853826,-4.566767539130524,13.765461977978696
2020,"SDP",60,913,2231,95,325,312,55,0.091438816,0.214701927,0.208924949,0.291076487,0.256592292,0.332732191,0.465517241,0.3409705329652721,,116.43883307189024,5.452409740071744,52.28959378344457,6.789671018719673,13.764431015710244
2014,"CLE",162,2391,6222,142,669,644,104,0.081002892,0.19109611,0.135605381,0.295597484,0.25309417,0.317179902,0.388699551,0.3130437579288414,,98.34617389945261,9.924094347283244,-1.672796027917638,-68.69531454052776,13.75113892660248
2023,"PIT",162,2412,6089,159,692,662,117,0.091312202,0.240433568,0.152793193,0.296393099,0.23917869,0.31453076,0.391971883,0.30841800525198687,,90.35012766620893,-1.9972478395793587,-74.78968510894832,6.141354693099856,13.719048400635126
2006,"CHC",162,2399,6147,166,716,677,121,0.064258988,0.150967951,0.15410775,0.293598233,0.267764453,0.319036621,0.421872203,0.31974403284250724,,84.20828343590549,-0.9639574319589883,-128.86772906307675,65.28850771486759,13.71704157591855
2014,"HOU",162,2229,6055,163,629,596,122,0.081750619,0.238150289,0.140811456,0.29757607,0.241784468,0.309464611,0.382595924,0.30756161267901116,,98.28233095581675,3.6023298734799027,-8.099815859527862,-57.86906303057913,13.657431321349229
2008,"CIN",162,2392,6188,187,704,677,85,0.090497737,0.18180349,0.160658737,0.277539341,0.247209515,0.320634401,0.407868252,0.31883353073526993,,86.60234944719811,1.1258271727710962,-103.24877710950007,41.11540460586548,13.61031542622283
2016,"KCR",162,2244,6052,147,675,640,121,0.063119629,0.202247191,0.138868877,0.309134045,0.261167146,0.312156993,0.400036023,0.3071691097421121,,89.11337217163347,9.301589985807368,-70.32990648068908,-2.0432024244219065,13.589659194606796
2014,"ATL",162,2252,6064,123,573,545,95,0.077836411,0.225758575,0.119422092,0.29802648,0.240673006,0.304658901,0.360095098,0.29629066961827255,,86.13810097818913,-4.378114657942206,-98.85781479085637,38.828570815734565,13.55984766042117
2010,"LAD",162,2310,6140,120,667,621,92,0.086807817,0.192833876,0.126796904,0.299137104,0.252119424,0.321552436,0.378916328,0.3092928856024944,,91.5965342251309,1.3473904225975275,-60.612682219118994,3.4767385609447956,13.545045130854177
2006,"COL",162,2306,6348,157,813,761,85,0.088374291,0.174543163,0.162531464,0.310225702,0.270406328,0.341201027,0.432937792,0.3332382561342814,,86.95342278192976,-2.7446688439231366,-111.76648787438391,39.3046316402033,13.509153109862094
2019,"PIT",162,2441,6228,163,758,722,64,0.068240205,0.194765574,0.155559484,0.309154113,0.264627894,0.321249393,0.420187378,0.31296253002361896,,91.77772105310673,-3.406917906981107,-71.53914167408405,11.682637847494334,13.48287999650786
2010,"CHC",162,2307,6140,149,685,658,55,0.078013029,0.201302931,0.144956459,0.303721488,0.256531204,0.319624938,0.401487663,0.31786282493868245,,90.34893957316459,-10.2910565007478,-81.67599003102913,23.694929836317897,13.457400628572064
2007,"WSN",162,2528,6201,123,673,646,69,0.084502499,0.181906144,0.134057971,0.299767981,0.256340579,0.324535679,0.39039855,0.314748752273497,,87.90697913678093,-10.770562659949064,-108.57873389641175,39.11910257488489,13.199751775236901
2023,"BOS",162,2391,6174,182,772,734,112,0.078717201,0.222222222,0.1659475,0.310413059,0.258360302,0.324016899,0.424307802,0.3236912914684841,,99.21709821603376,-4.600809606388793,-10.392519996429117,-70.04826389625669,13.069429413518241
2017,"KCR",162,2342,6027,193,702,660,91,0.06470881,0.19346275,0.160223989,0.29496915,0.259393063,0.311418109,0.419617052,0.31225213438824834,,90.90074009643428,8.018317189518712,-60.1189937886474,-8.423088663257658,12.989245899738089
2020,"CHW",60,889,2267,96,306,294,20,0.078958976,0.251874724,0.192476795,0.314429289,0.260869565,0.325673884,0.45334636,0.3341690617046137,,111.13428166516542,-3.3770715100690722,27.67468483324604,6.48602823598776,12.98784958690697
2014,"ARI",162,2274,6089,118,615,573,86,0.06536377,0.191328625,0.127341499,0.292915214,0.248378962,0.301874274,0.375720461,0.2995102554211898,,83.30038241745714,1.5104047958739102,-112.77156614890227,46.15057648718357,12.919859049305783
2011,"HOU",162,2377,6150,95,615,579,118,0.065203252,0.189268292,0.116112897,0.307815356,0.257591997,0.310588622,0.373704894,0.3014291542035247,,87.5987124999032,-0.5738364667631686,-89.14740533792607,22.241500843665563,12.835660132387165
2012,"MIN",162,2271,6209,131,701,666,135,0.081333548,0.172169431,0.129989213,0.298098687,0.260338007,0.324805699,0.39032722,0.31279122076138477,,95.46062950959765,0.7213783040642738,-32.508740987055624,-54.4091203790158,12.817442999369401
2019,"TOR",162,2354,6091,247,726,697,51,0.083565916,0.248563454,0.191698525,0.279787234,0.236482796,0.305020576,0.428181321,0.3096895025077185,,92.40132130452923,-7.718159072246635,-67.15635115580696,-21.88309745118022,12.79901597290572
2009,"NYM",162,2377,6159,95,671,631,122,0.085403474,0.15067381,0.124335228,0.307023411,0.26994315,0.335090609,0.394278378,0.3204058445365182,,94.37606750441526,-5.367828320711851,-48.21917056165666,-17.892551977187395,12.705778099492376
2020,"ATL",60,900,2344,103,348,338,23,0.101962457,0.244453924,0.214561235,0.322419928,0.268081002,0.349125053,0.482642237,0.3547512946722334,,119.81763951909348,2.397639810340479,61.73033935757703,4.535325584001839,12.696100816148457
2019,"CIN",162,2462,6100,227,701,679,80,0.080655737,0.235409836,0.177981652,0.288219895,0.243669724,0.314808707,0.421651376,0.31188151332632874,,84.96050220044907,-9.46269203722477,-130.7778669221314,66.80653958022594,12.686624982440428
2015,"MIL",162,2377,6024,145,655,624,84,0.068393094,0.21563745,0.141788321,0.302948402,0.251459854,0.306854365,0.393248175,0.3036129769045842,,87.37491296835886,1.4957275248598307,-87.87782220268443,20.695113465189934,12.620661847482847
2012,"KCR",162,2249,6149,131,676,643,132,0.06570174,0.167832167,0.135202271,0.301506424,0.264726756,0.316511513,0.399929027,0.31105576629864246,,94.00240946741238,-7.396355457603931,-50.819935675740645,-36.61468391120434,12.551437198885587
2007,"PIT",162,2304,6214,148,724,694,68,0.074509172,0.182652075,0.148680194,0.30320498,0.262704255,0.324504387,0.411384449,0.3217606334812439,,89.67874800566895,-10.417932864278555,-94.03395840308833,16.8194790892303,12.485082034091294
2009,"HOU",162,2340,6040,142,643,616,113,0.074172185,0.163907284,0.139808683,0.292710968,0.260301692,0.319156061,0.400110375,0.3148915209484984,,89.2749227147835,-17.957082295790315,-98.96351425467216,34.336535116657615,12.481035360445496
2011,"COL",162,2348,6275,163,735,697,118,0.088446215,0.191394422,0.152056277,0.299715909,0.257756132,0.329193548,0.409812409,0.32365253492050283,,87.53800944793086,-1.833912000991404,-92.53471584655357,18.36237344145775,12.47175255089683
2007,"HOU",162,2409,6324,167,723,700,65,0.086495888,0.164927261,0.152363961,0.290868094,0.259946476,0.329598207,0.412310437,0.3248219930724243,,91.67670146155798,-17.923539336770773,-86.64909561104464,5.334908418357372,12.439479824340417
2017,"DET",162,2336,6150,187,735,699,65,0.081788617,0.213495934,0.165586753,0.305657604,0.258279337,0.32420984,0.42386609,0.3207948658422296,,97.65730878093939,-9.016448231926915,-26.98087944916885,-51.3168304041028,12.422610590808238
2021,"LAA",162,2325,6016,190,723,691,79,0.077127659,0.231715425,0.162037889,0.294223826,0.244804119,0.309774436,0.406842008,0.30848976827469193,,93.11800029301189,3.2887391737785947,-47.59058565532732,-36.88214302808046,12.30524246211253
2016,"ATL",161,2390,6192,122,649,615,75,0.081072351,0.200258397,0.129669932,0.304947668,0.254624591,0.320711604,0.384294523,0.3042139188449898,,86.49175178898025,0.00619325795196346,-104.6600830163032,27.88609566213563,12.266287031184481
2018,"MIA",161,2434,6083,128,589,554,45,0.074798619,0.227519316,0.119169096,0.293236835,0.237427113,0.302794774,0.356596209,0.2890190006272576,,83.45185015389413,-6.0109482553452835,-129.15146117436797,61.29034906998277,12.198722864657011
2021,"KCR",162,2368,5993,163,686,647,124,0.070248623,0.209911563,0.147042564,0.292262198,0.248571955,0.306465155,0.395614519,0.30368212151571505,,87.56359924269681,6.970390805508941,-84.8429622124981,0.006088003516197205,12.189298976521261
2015,"MIN",162,2311,6017,156,696,661,70,0.072959946,0.210071464,0.152368758,0.291829745,0.246753246,0.305328211,0.399122004,0.3051294841127479,,89.28203163771386,-5.488092293962836,-80.41154450464043,-2.107759479433298,12.11061382674077
2019,"COL",162,2452,6288,224,835,803,71,0.077767175,0.239026717,0.190282686,0.321428571,0.265371024,0.326222935,0.45565371,0.3278859746628913,,87.22125552381159,-5.94960527936928,-112.55026689044563,36.305732236243784,12.07704645125779
2023,"KCR",162,2369,5985,163,676,651,163,0.068671679,0.233249791,0.153463523,0.295900178,0.244104642,0.302781501,0.397568165,0.30290378514074334,,86.80850705728838,8.698707886389457,-85.90126971092585,1.8031605929136276,12.059092052272863
2018,"PHI",162,2474,6136,186,677,653,69,0.094850065,0.247718383,0.158370207,0.289066666,0.234144542,0.313995411,0.392514749,0.3073612679011505,,90.53629613948922,-0.8988826624117792,-72.28974734222139,0.7205497771501541,11.984164135300007
2016,"CIN",162,2287,6094,164,716,678,139,0.074171316,0.210699048,0.152177875,0.303453343,0.255695279,0.315990057,0.407873154,0.31117369515294035,,88.74638348659315,1.688122943876806,-83.86092640927428,5.811374859884381,11.817437972623011
2019,"SDP",162,2413,6019,219,682,652,70,0.083734839,0.262668217,0.172324244,0.293208172,0.237618252,0.307640862,0.409942496,0.30462891821171845,,88.70736626900566,-8.911376355248649,-98.94252095669277,28.4363279864192,11.800939457532156
2012,"COL",162,2429,6183,166,758,716,100,0.072780203,0.196183082,0.162811547,0.320981826,0.273623812,0.329727958,0.436435359,0.3308741169378171,,89.68772962243568,2.844435542821884,-73.80602916458757,-1.959925434552133,11.765053790690008
2014,"SDP",162,2362,5905,109,535,500,91,0.079254868,0.219136325,0.115413676,0.276930894,0.22648281,0.292065663,0.341896486,0.28312056028971944,,81.53324924043632,-6.189447791315615,-128.68620438388245,56.52193248120602,11.70058535729292
2017,"BAL",162,2351,6140,232,743,713,32,0.063843648,0.229967426,0.175044247,0.30596092,0.26,0.311796377,0.435044247,0.3182896626858963,,95.25614490866742,-14.899605454287666,-51.252339635364535,-33.99413179606199,11.698155971629516
2011,"CHW",162,2206,6159,154,654,625,81,0.077122909,0.160578015,0.135587059,0.279909194,0.252090149,0.318650728,0.387677208,0.3119485382483616,,90.272473466507,-9.902661941479892,-79.99469100867226,-12.331101913005114,11.661943566980046
2014,"TEX",162,2264,6026,111,637,597,105,0.069200132,0.192831065,0.118864469,0.30458412,0.256410256,0.313889353,0.375274725,0.30519791763918674,,90.21404124629578,-1.783501642756164,-66.80312714899658,-16.647996827960014,11.639765364834416
2018,"SDP",162,2380,6059,162,617,583,95,0.077735599,0.25136161,0.14509661,0.293719051,0.23496172,0.297310756,0.38005833,0.2936806444965894,,84.36465697149734,4.807365313026821,-111.52104846794931,38.653572864830494,11.607681029236891
2020,"NYM",60,902,2279,86,286,278,20,0.086441421,0.218516893,0.186851211,0.320247933,0.27236777,0.348112379,0.459218981,0.34707230232360603,,122.74396702552174,-1.2507824545609765,64.97584232121997,-9.00707519124262,11.52130957945627
2021,"DET",162,2341,5979,179,697,675,88,0.081953503,0.253219601,0.157552083,0.300026788,0.241629464,0.307550335,0.399181547,0.3057701553228081,,92.77474434535957,7.131458232877776,-46.03127009961684,-45.170369654893875,11.502721956674542
2015,"OAK",162,2349,6171,146,694,661,78,0.076972937,0.181332036,0.144107143,0.287903041,0.250892857,0.312042905,0.395,0.30786923719090104,,95.37750533569242,-0.9748591934330761,-34.14404467332462,-60.72119074128568,11.334323505223258
2011,"BAL",162,2262,6156,191,708,684,81,0.073424301,0.181936322,0.156132498,0.287931433,0.256759176,0.316046966,0.412891674,0.31973436667041677,,96.12750138775735,-11.275249782484025,-39.083103258147744,-56.4157345991116,11.315861997112652
2012,"CHC",162,2341,5967,137,613,570,94,0.074912016,0.206971677,0.138236925,0.285503322,0.239696913,0.301603375,0.377933838,0.29699918487219185,,81.3566362766755,-6.044761285185814,-138.88262348958273,64.47093442082405,11.21861773356608
2009,"BAL",162,2281,6233,160,741,708,76,0.082945612,0.16252206,0.146849412,0.300155867,0.268422926,0.331832797,0.415272338,0.32787883755081215,,93.06148758268145,-20.14302616752684,-74.3024070155576,-31.863614873960614,11.1795565920411
2014,"PHI",162,2282,6198,125,619,584,109,0.071474669,0.210713133,0.121363555,0.292468519,0.242013207,0.302052785,0.363376762,0.295074802625367,,86.24287926482282,10.583934171590954,-85.5326069433259,-0.6581439441069961,11.135378098921228
2023,"MIA",162,2420,6043,166,666,633,86,0.07115671,0.212973688,0.145897763,0.307937285,0.258868473,0.316375727,0.404766236,0.31217333170099154,,93.95988343863942,-4.59597642859444,-49.81452653772791,-43.21072029322386,11.132879253753828
2021,"ARI",162,2449,6144,144,679,644,43,0.087402343,0.23844401,0.146110402,0.295035823,0.236290763,0.309102815,0.382401165,0.30068382873572774,,85.78905416431958,-4.751824575374485,-116.28295559836432,20.62888253852725,11.046195204919696
